Constituency,PAP_2025,OPP_2025
Aljunied,40.32,59.68
Ang Mo Kio,78.95,21.05
Bishan-Toa Payoh,75.21,24.79
Bukit Gombak,75.83,24.17
Bukit Panjang,61.41,38.59
Chua Chu Kang,63.59,36.41
East Coast,58.76,41.24
Hougang,37.83,62.17
Holland-Bukit Timah,79.29,20.71
Jalan Besar,75.21,24.79
Jurong East-Bukit Batok,76.66,23.34
Jalan Kayu,51.47,48.53
Jurong Central,80.51,19.49
Kebun Baru,68.5,31.5
Mountbatten,63.84,36.16
Marymount,70.7,29.3
Marsiling-Yew Tee,73.46,26.54
Nee Soon,73.81,26.19
Pasir Ris-Changi,67.66,32.34
Pioneer,65.42,34.58
Potong Pasir,69.18,30.82
Punggol,55.17,44.83
Queenstown,81.12,18.88
Radin Mas,69.17,30.83
Sembawang,67.75,32.25
Sembawang West,53.19,46.81
Sengkang,43.69,56.31
Tampines Changkat,56.17,43.83
Tampines,52.02,47.98
Tanjong Pagar,81.03,18.97
West Coast-Jurong West,60.01,39.99
Yio Chu Kang,78.73,21.27
